County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Fresno County, California(7)",06019,Urban,18.4 ,1.6, 3.6,N/A , N/A , N/A,178,rising,2.5 ,1.6, 3.6
"San Joaquin County, California(7)",06077,Urban,17.7 ,1.5, 3.7,N/A , N/A , N/A,140,rising,2.5 ,1.5, 3.7
"Sutter County, California(7)",06101,Urban,17.4 ,-2.5, 2.6,N/A , N/A , N/A,19,stable,-0.1 ,-2.5, 2.6
"San Bernardino County, California(7)",06071,Urban,17 ,-0.6, 0.8,N/A , N/A , N/A,355,stable,0.1 ,-0.6, 0.8
"Lassen County, California(7)",06035,Rural,15.3 ,-0.9, 5.1,N/A , N/A , N/A,6,stable,1.9 ,-0.9, 5.1
"Merced County, California(7)",06047,Urban,14.2 ,-0.1, 2.9,N/A , N/A , N/A,36,stable,1.3 ,-0.1, 2.9
"Tulare County, California(7)",06107,Urban,13.8 ,-0.8, 1.9,N/A , N/A , N/A,58,stable,0.5 ,-0.8, 1.9
"Los Angeles County, California(7)",06037,Urban,12.7 ,-0.9, -0.2,N/A , N/A , N/A,1397,falling,-0.6 ,-0.9, -0.2
"Kings County, California(7)",06031,Urban,11.1 ,-2.5, 3.4,N/A , N/A , N/A,15,stable,0.3 ,-2.5, 3.4
"Imperial County, California(7)",06025,Urban,5.8 ,-5.4, -0.4,N/A , N/A , N/A,11,falling,-2.9 ,-5.4, -0.4
"Alpine County, California(7)",06003,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Colusa County, California(7)",06011,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Sierra County, California(7)",06091,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Clackamas County, Oregon(6)",41005,Urban,30.7 ,-15.0, -0.1,N/A , N/A , N/A,162,falling,-4.5 ,-15.0, -0.1
"Columbia County, Oregon(6)",41009,Urban,30.2 ,-0.1, 4.6,N/A , N/A , N/A,22,stable,2.0 ,-0.1, 4.6
"Douglas County, Oregon(6)",41019,Rural,29 ,-3.6, -0.8,N/A , N/A , N/A,47,falling,-2.2 ,-3.6, -0.8
"Deschutes County, Oregon(6)",41017,Urban,28.6 ,-24.8, -3.5,N/A , N/A , N/A,75,falling,-11.7 ,-24.8, -3.5
"Multnomah County, Oregon(6)",41051,Urban,27.4 ,-12.0, 0.6,N/A , N/A , N/A,243,stable,-3.8 ,-12.0, 0.6
"Polk County, Oregon(6)",41053,Urban,26.7 ,-2.9, 2.7,N/A , N/A , N/A,28,stable,-0.2 ,-2.9, 2.7
"Yamhill County, Oregon(6)",41071,Urban,25.5 ,-0.6, 4.0,N/A , N/A , N/A,34,stable,1.5 ,-0.6, 4.0
"Clatsop County, Oregon(6)",41007,Rural,25.4 ,-30.5, 0.8,N/A , N/A , N/A,15,stable,-16.5 ,-30.5, 0.8
"Tillamook County, Oregon(6)",41057,Rural,24 ,-4.3, 5.2,N/A , N/A , N/A,11,stable,0.2 ,-4.3, 5.2
"Wasco County, Oregon(6)",41065,Rural,23.5 ,-4.9, 3.2,N/A , N/A , N/A,9,stable,-1.0 ,-4.9, 3.2
"Klamath County, Oregon(6)",41035,Rural,23.4 ,-33.0, -7.4,N/A , N/A , N/A,21,falling,-17.5 ,-33.0, -7.4
"Josephine County, Oregon(6)",41033,Urban,23.1 ,-3.7, 1.7,N/A , N/A , N/A,32,stable,-1.0 ,-3.7, 1.7
"Marion County, Oregon(6)",41047,Urban,22.9 ,-1.8, 1.6,N/A , N/A , N/A,91,stable,-0.2 ,-1.8, 1.6
"Crook County, Oregon(6)",41013,Urban,21.1 ,-6.7, 5.8,N/A , N/A , N/A,8,stable,-0.6 ,-6.7, 5.8
"Curry County, Oregon(6)",41015,Rural,18.4 ,-5.4, 6.4,N/A , N/A , N/A,7,stable,0.0 ,-5.4, 6.4
"Linn County, Oregon(6)",41043,Urban,17.9 ,-3.3, 1.3,N/A , N/A , N/A,28,stable,-1.0 ,-3.3, 1.3
"Hood River County, Oregon(6)",41027,Rural,17.9 ,-5.9, 2.5,N/A , N/A , N/A,5,stable,-1.8 ,-5.9, 2.5
"Jackson County, Oregon(6)",41029,Urban,17.4 ,-6.1, -1.7,N/A , N/A , N/A,55,falling,-3.8 ,-6.1, -1.7
"Union County, Oregon(6)",41061,Rural,16.1 ,-5.8, 4.3,N/A , N/A , N/A,6,stable,-0.9 ,-5.8, 4.3
"Lane County, Oregon(6)",41039,Urban,14.9 ,-4.6, 0.2,N/A , N/A , N/A,76,stable,-2.2 ,-4.6, 0.2
"Baker County, Oregon(6)",41001,Rural,14.6 ,-7.2, 5.4,N/A , N/A , N/A,4,stable,-1.0 ,-7.2, 5.4
"Benton County, Oregon(6)",41003,Urban,14.2 ,-34.1, -8.8,N/A , N/A , N/A,15,falling,-16.5 ,-34.1, -8.8
"Lincoln County, Oregon(6)",41041,Rural,13.8 ,-37.4, -2.4,N/A , N/A , N/A,12,falling,-8.7 ,-37.4, -2.4
"Jefferson County, Oregon(6)",41031,Urban,12.6 ,-53.1, -1.9,N/A , N/A , N/A,4,falling,-15.1 ,-53.1, -1.9
"Malheur County, Oregon(6)",41045,Rural,11.1 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Coos County, Oregon(6)",41011,Rural,10.6 ,-7.6, -1.4,N/A , N/A , N/A,13,falling,-4.4 ,-7.6, -1.4
"Umatilla County, Oregon(6)",41059,Rural,8.3 ,-51.7, -10.4,N/A , N/A , N/A,8,falling,-28.3 ,-51.7, -10.4
"Gilliam County, Oregon(6)",41021,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Grant County, Oregon(6)",41023,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Harney County, Oregon(6)",41025,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Lake County, Oregon(6)",41037,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Morrow County, Oregon(6)",41049,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Sherman County, Oregon(6)",41055,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Wallowa County, Oregon(6)",41063,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
